TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,NEIGHBOURHOOD
Break and Enter Commercial,2016,12,4,22,50,Mount Pleasant
Other Theft,2016,4,17,15,19,Central Business District
Theft from Vehicle,2016,6,13,7,0,Sunset
Other Theft,2016,4,17,12,48,Central Business District
Other Theft,2016,10,1,21,0,West End
Other Theft,2016,4,14,14,30,Central Business District
Theft from Vehicle,2016,3,12,23,0,West End
Mischief,2016,4,23,6,34,Central Business District
Theft from Vehicle,2016,7,3,11,30,West End
Break and Enter Commercial,2016,2,11,14,0,Strathcona
Break and Enter Commercial,2016,9,20,18,14,Strathcona
Other Theft,2016,4,11,20,50,Central Business District
Other Theft,2016,11,9,18,0,Central Business District
Other Theft,2016,4,10,15,13,Central Business District
Theft from Vehicle,2016,11,4,22,0,Kensington-Cedar Cottage
Mischief,2016,6,8,5,54,Central Business District
Theft from Vehicle,2016,8,15,21,0,Kitsilano
Break and Enter Commercial,2016,2,11,9,5,Strathcona
Break and Enter Commercial,2016,10,13,17,26,Strathcona
Other Theft,2016,10,25,22,6,Central Business District
Other Theft,2016,10,15,23,0,Central Business District
Other Theft,2016,8,13,17,30,West End
Theft of Vehicle,2016,7,4,10,9,Strathcona
Theft from Vehicle,2016,4,8,17,5,West End
Mischief,2016,7,31,20,32,Hastings-Sunrise
Theft from Vehicle,2016,3,8,23,0,Riley Park
Theft of Vehicle,2016,7,14,18,5,Strathcona
Mischief,2016,5,30,11,32,West End
Other Theft,2016,4,10,10,0,Central Business District
Other Theft,2016,4,9,11,27,Central Business District
Break and Enter Residential/Other,2016,2,29,18,55,Arbutus Ridge
Other Theft,2016,4,6,20,24,Central Business District
Mischief,2016,10,11,18,0,Strathcona
Other Theft,2016,4,3,13,57,Central Business District
Theft from Vehicle,2016,9,9,13,0,Victoria-Fraserview
Other Theft,2016,3,29,12,0,Central Business District
Other Theft,2016,3,27,13,20,Central Business District
Other Theft,2016,3,27,11,50,Central Business District
Other Theft,2016,3,26,20,51,Central Business District
Theft from Vehicle,2016,4,3,18,0,West End
Other Theft,2016,12,4,0,26,Fairview
Other Theft,2016,10,21,8,37,Fairview
Theft from Vehicle,2016,3,14,6,0,Central Business District
Other Theft,2016,3,26,19,0,Central Business District
Other Theft,2016,10,15,23,28,Fairview
Mischief,2016,10,1,10,17,West End
Other Theft,2016,3,25,14,52,Central Business District
Break and Enter Residential/Other,2016,2,19,11,38,Arbutus Ridge
Other Theft,2016,9,29,18,53,Fairview
Theft from Vehicle,2016,5,3,16,45,Central Business District
Other Theft,2016,9,8,18,17,Fairview
Other Theft,2016,10,15,23,0,West End
Mischief,2016,5,25,12,0,West End
Break and Enter Residential/Other,2016,1,23,0,0,Arbutus Ridge
Other Theft,2016,3,20,14,48,Central Business District
Other Theft,2016,7,21,20,11,Fairview
Other Theft,2016,7,13,19,47,Fairview
Theft from Vehicle,2016,5,5,8,9,Central Business District
Theft of Vehicle,2016,2,22,19,0,Central Business District
Other Theft,2016,6,2,20,46,Fairview
Other Theft,2016,5,24,16,41,Fairview
Theft from Vehicle,2016,8,5,9,26,Central Business District
Theft from Vehicle,2016,11,26,19,0,Central Business District
Other Theft,2016,5,7,8,23,Fairview
Break and Enter Commercial,2016,10,24,8,28,Strathcona
Offence Against a Person,2016,2,17,,,Riley Park
Mischief,2016,9,18,4,23,Central Business District
Theft from Vehicle,2016,10,24,20,0,Mount Pleasant
Other Theft,2016,3,20,11,37,Central Business District
Theft from Vehicle,2016,11,18,21,0,Renfrew-Collingwood
Other Theft,2016,4,28,14,2,Fairview
Other Theft,2016,4,22,17,53,Fairview
Other Theft,2016,4,19,14,42,Fairview
Other Theft,2016,3,15,15,32,Central Business District
Other Theft,2016,3,13,15,56,Central Business District
Other Theft,2016,3,13,11,24,Central Business District
Other Theft,2016,3,14,21,6,Fairview
Other Theft,2016,3,26,11,41,Fairview
Theft from Vehicle,2016,11,6,20,0,West End
Other Theft,2016,3,12,16,26,Central Business District
Other Theft,2016,3,10,17,34,Central Business District
Mischief,2016,2,22,6,1,Strathcona
Theft from Vehicle,2016,11,7,23,20,West End
Other Theft,2016,4,8,19,25,Fairview
Break and Enter Commercial,2016,2,7,18,0,Sunset
Other Theft,2016,3,26,19,50,Fairview
Other Theft,2016,3,24,21,20,Fairview
Other Theft,2016,3,18,21,0,Fairview
Theft from Vehicle,2016,10,29,21,45,Central Business District
Other Theft,2016,4,16,21,0,Fairview
Other Theft,2016,3,11,15,10,Fairview
Other Theft,2016,5,20,7,0,Central Business District
Other Theft,2016,3,11,1,47,Fairview
Other Theft,2016,7,3,9,30,Renfrew-Collingwood
Other Theft,2016,2,29,20,40,Fairview
Theft from Vehicle,2016,8,15,2,0,Victoria-Fraserview
Theft from Vehicle,2016,2,27,13,15,Central Business District
Theft from Vehicle,2016,1,25,18,0,Killarney
Other Theft,2016,2,4,14,38,Fairview
Other Theft,2016,7,27,15,15,Mount Pleasant
Other Theft,2016,8,12,17,30,Mount Pleasant
Other Theft,2016,6,16,17,30,Fairview
Other Theft,2016,1,20,17,23,Fairview
Theft of Vehicle,2016,7,4,22,30,Mount Pleasant
Other Theft,2016,9,15,16,20,Central Business District
Other Theft,2016,9,16,14,19,Central Business District
Other Theft,2016,9,17,18,42,Central Business District
Theft from Vehicle,2016,10,1,10,44,Mount Pleasant
Theft from Vehicle,2016,8,25,6,49,Mount Pleasant
Break and Enter Commercial,2016,11,15,4,9,Strathcona
Theft from Vehicle,2016,11,13,21,0,Renfrew-Collingwood
Theft from Vehicle,2016,2,21,15,30,Central Business District
Theft from Vehicle,2016,8,20,22,0,Mount Pleasant
Other Theft,2016,10,22,6,30,West End
Theft from Vehicle,2016,2,8,20,0,Renfrew-Collingwood
Other Theft,2016,3,6,17,0,Central Business District
Theft from Vehicle,2016,8,13,3,0,Mount Pleasant
Theft from Vehicle,2016,3,28,6,30,Renfrew-Collingwood
Other Theft,2016,3,6,15,57,Central Business District
Other Theft,2016,11,26,10,45,Mount Pleasant
Break and Enter Commercial,2016,2,10,16,30,Strathcona
Other Theft,2016,9,24,18,2,Central Business District
Other Theft,2016,11,2,12,0,West End
Other Theft,2016,6,25,14,0,West Point Grey
Theft from Vehicle,2016,3,16,15,30,Central Business District
Theft from Vehicle,2016,5,5,6,0,Renfrew-Collingwood
Other Theft,2016,9,28,16,2,Central Business District
Other Theft,2016,1,26,16,30,Fairview
Theft from Vehicle,2016,6,20,20,30,Mount Pleasant
Theft from Vehicle,2016,1,19,8,0,Victoria-Fraserview
Break and Enter Commercial,2016,7,13,2,55,Central Business District
Other Theft,2016,3,6,13,30,Central Business District
Theft from Vehicle,2016,5,21,7,47,Killarney
Theft from Vehicle,2016,5,21,3,0,Killarney
Other Theft,2016,2,12,12,10,Fairview
Other Theft,2016,3,5,18,40,Central Business District
Other Theft,2016,2,28,15,10,Central Business District
Other Theft,2016,2,28,10,41,Central Business District
Theft from Vehicle,2016,11,8,12,48,Kitsilano
Theft from Vehicle,2016,5,20,16,30,Killarney
Other Theft,2016,2,21,16,45,Central Business District
Theft from Vehicle,2016,5,6,17,0,Mount Pleasant
Theft from Vehicle,2016,4,13,23,30,Mount Pleasant
Theft from Vehicle,2016,6,2,9,30,Central Business District
Other Theft,2016,2,21,10,53,Central Business District
Other Theft,2016,10,3,11,0,Central Business District
Mischief,2016,7,21,14,0,Strathcona
Mischief,2016,6,8,16,30,Strathcona
Theft from Vehicle,2016,1,31,22,30,Mount Pleasant
Theft from Vehicle,2016,7,23,23,0,Central Business District
Offence Against a Person,2016,8,16,,,Riley Park
Other Theft,2016,7,14,9,25,Fairview
Mischief,2016,4,19,19,25,Strathcona
Other Theft,2016,2,20,15,27,Central Business District
Theft from Vehicle,2016,4,18,16,0,Oakridge
Other Theft,2016,2,18,10,11,Central Business District
Theft from Vehicle,2016,5,24,11,0,Central Business District
Offence Against a Person,2016,11,5,,,Riley Park
Other Theft,2016,2,17,21,41,Central Business District
Theft from Vehicle,2016,1,19,1,0,Kitsilano
Theft from Vehicle,2016,10,17,22,0,Mount Pleasant
Other Theft,2016,2,14,13,38,Central Business District
Theft from Vehicle,2016,6,14,16,0,Oakridge
Other Theft,2016,2,13,21,26,Central Business District
Mischief,2016,2,18,21,10,Strathcona
Break and Enter Residential/Other,2016,6,13,11,42,Kitsilano
Other Theft,2016,2,10,20,39,Central Business District
Other Theft,2016,8,6,20,30,Mount Pleasant
Other Theft,2016,11,3,15,0,West End
Theft from Vehicle,2016,8,2,13,0,Central Business District
Other Theft,2016,1,5,10,0,Fairview
Theft of Vehicle,2016,7,21,0,1,Mount Pleasant
Theft from Vehicle,2016,7,6,12,0,Central Business District
Other Theft,2016,2,8,16,58,Central Business District
Mischief,2016,6,26,6,51,Grandview-Woodland
Theft of Vehicle,2016,9,30,1,30,Central Business District
Other Theft,2016,4,21,18,0,Mount Pleasant
Other Theft,2016,1,8,14,33,Fairview
Break and Enter Residential/Other,2016,11,8,6,45,Arbutus Ridge
Mischief,2016,10,30,13,37,Grandview-Woodland
Theft from Vehicle,2016,1,18,20,0,Kitsilano
Mischief,2016,4,26,16,8,Grandview-Woodland
Other Theft,2016,5,2,10,26,Fairview
Other Theft,2016,2,8,14,56,Central Business District
Other Theft,2016,9,17,15,0,Central Business District
Other Theft,2016,8,12,12,17,Central Business District
Offence Against a Person,2016,4,12,,,Riley Park
Break and Enter Residential/Other,2016,5,18,18,51,Mount Pleasant
Other Theft,2016,11,4,21,38,West End
Other Theft,2016,7,27,0,15,Central Business District
Offence Against a Person,2016,6,30,,,Riley Park
Offence Against a Person,2016,6,12,,,Riley Park
Mischief,2016,11,16,7,18,Strathcona
Other Theft,2016,6,22,17,0,West Point Grey
Theft from Vehicle,2016,1,18,0,0,Kitsilano
Theft from Vehicle,2016,4,15,15,0,Stanley Park
Other Theft,2016,6,8,17,35,Mount Pleasant
Offence Against a Person,2016,2,13,,,Riley Park
Other Theft,2016,10,7,14,58,Central Business District
Theft from Vehicle,2016,11,13,22,0,Central Business District
Other Theft,2016,10,10,14,51,Central Business District
Theft from Vehicle,2016,11,10,13,15,Central Business District
Other Theft,2016,2,7,15,19,Central Business District
Other Theft,2016,2,5,10,15,Central Business District
Theft from Vehicle,2016,5,23,0,0,Strathcona
Theft from Vehicle,2016,8,28,21,13,Central Business District
Theft from Vehicle,2016,8,1,20,9,Central Business District
Theft from Vehicle,2016,7,16,12,34,Central Business District
Theft from Vehicle,2016,5,18,0,0,Killarney
Theft from Vehicle,2016,9,13,7,55,Fairview
Theft from Vehicle,2016,4,30,9,30,Central Business District
Theft from Vehicle,2016,3,6,3,0,Central Business District
Other Theft,2016,2,4,9,15,Central Business District
Other Theft,2016,7,24,10,10,Central Business District
Other Theft,2016,2,2,9,30,Central Business District
Mischief,2016,6,9,8,54,Strathcona
Mischief,2016,2,12,0,0,Strathcona
Theft from Vehicle,2016,2,26,21,0,Central Business District
Theft from Vehicle,2016,2,20,1,0,Central Business District
Theft from Vehicle,2016,1,24,19,0,Central Business District
Other Theft,2016,9,20,19,15,Fairview
Other Theft,2016,1,29,9,54,Renfrew-Collingwood
Other Theft,2016,1,17,16,4,Central Business District
Theft from Vehicle,2016,4,1,1,0,Central Business District
Other Theft,2016,11,9,9,0,West End
Theft from Vehicle,2016,8,25,20,0,Strathcona
Theft from Vehicle,2016,1,17,21,0,Kitsilano
Break and Enter Commercial,2016,1,15,21,0,Hastings-Sunrise
Theft from Vehicle,2016,1,7,20,30,Kitsilano
Theft from Vehicle,2016,11,4,19,0,Renfrew-Collingwood
Theft from Vehicle,2016,3,7,20,0,Fairview
Other Theft,2016,5,23,2,30,Fairview
Other Theft,2016,8,16,13,0,Fairview
Other Theft,2016,1,18,12,44,Fairview
Theft from Vehicle,2016,8,31,19,30,Central Business District
Other Theft,2016,11,12,2,14,West End
Theft from Vehicle,2016,6,20,16,15,Fairview
Break and Enter Commercial,2016,6,11,1,0,Central Business District
Other Theft,2016,11,13,10,40,West End
Other Theft,2016,1,17,12,13,Central Business District
Theft of Vehicle,2016,8,14,11,7,Strathcona
Other Theft,2016,7,16,13,30,Central Business District
Other Theft,2016,6,11,19,0,Central Business District
Other Theft,2016,11,18,12,0,West End
Theft of Vehicle,2016,7,1,19,15,Central Business District
Theft from Vehicle,2016,6,10,18,30,Central Business District
Theft from Vehicle,2016,1,14,20,0,Central Business District
Break and Enter Commercial,2016,6,9,4,37,Central Business District
Other Theft,2016,1,16,20,30,Central Business District
Theft from Vehicle,2016,1,9,22,0,Central Business District
Theft from Vehicle,2016,1,4,23,0,Central Business District
Other Theft,2016,11,21,15,0,Fairview
Other Theft,2016,1,16,18,20,Central Business District
Other Theft,2016,1,15,10,0,Central Business District
Other Theft,2016,6,1,18,48,Central Business District
Mischief,2016,9,19,22,18,Central Business District
Break and Enter Commercial,2016,8,25,5,32,Strathcona
Offence Against a Person,2016,4,25,,,Riley Park
Mischief,2016,5,25,14,20,Central Business District
Mischief,2016,5,21,22,49,Central Business District
Other Theft,2016,2,11,19,30,Central Business District
Mischief,2016,6,6,19,0,Strathcona
Theft from Vehicle,2016,5,18,20,0,Oakridge
Other Theft,2016,10,10,17,29,Central Business District
Mischief,2016,10,13,13,33,Central Business District
Other Theft,2016,1,13,15,55,Central Business District
Offence Against a Person,2016,8,20,,,Riley Park
Other Theft,2016,10,16,17,4,Central Business District
Theft from Vehicle,2016,10,29,8,53,Victoria-Fraserview
Other Theft,2016,1,11,17,50,Central Business District
Break and Enter Commercial,2016,10,1,7,53,Strathcona
Theft from Vehicle,2016,5,23,16,0,West End
Break and Enter Residential/Other,2016,6,24,8,12,Kerrisdale
Break and Enter Commercial,2016,3,20,7,4,Strathcona
Break and Enter Commercial,2016,4,19,7,34,Strathcona
Other Theft,2016,1,10,14,51,Central Business District
Other Theft,2016,1,10,10,22,Central Business District
Theft from Vehicle,2016,5,30,8,56,Central Business District
Theft from Vehicle,2016,6,30,0,0,West End
Theft from Vehicle,2016,1,9,23,0,West End
Theft from Vehicle,2016,2,29,19,0,Kerrisdale
Other Theft,2016,1,5,13,36,Central Business District
Break and Enter Residential/Other,2016,4,25,10,30,Hastings-Sunrise
Other Theft,2016,1,4,16,17,Central Business District
Other Theft,2016,1,3,15,6,Central Business District
Other Theft,2016,10,18,16,4,Central Business District
Other Theft,2016,1,2,15,15,Central Business District
Other Theft,2016,1,1,13,4,Central Business District
Theft from Vehicle,2016,11,24,6,21,West End
Break and Enter Commercial,2016,9,1,15,30,Strathcona
Theft from Vehicle,2016,6,5,22,0,Mount Pleasant
Break and Enter Commercial,2016,1,29,16,40,Strathcona
Theft from Vehicle,2016,1,27,17,0,Kerrisdale
Theft from Vehicle,2016,10,31,15,15,West End
Theft from Vehicle,2016,11,20,20,0,Mount Pleasant
Offence Against a Person,2016,11,14,,,Riley Park
Mischief,2016,11,12,8,47,Central Business District
Break and Enter Commercial,2016,4,15,7,55,Strathcona
Break and Enter Residential/Other,2016,4,11,18,0,Renfrew-Collingwood
Break and Enter Residential/Other,2016,11,23,21,37,Renfrew-Collingwood
Break and Enter Commercial,2016,6,21,3,42,Strathcona
Offence Against a Person,2016,10,12,,,Riley Park
Offence Against a Person,2016,9,29,,,Riley Park
Theft from Vehicle,2016,2,8,0,0,West End
Break and Enter Commercial,2016,11,7,5,46,Strathcona
Other Theft,2016,7,22,13,0,West End
Theft from Vehicle,2016,2,26,17,30,West End
Offence Against a Person,2016,1,27,,,Riley Park
Theft from Vehicle,2016,7,22,20,0,West End
Theft from Vehicle,2016,8,18,18,0,West End
Mischief,2016,7,26,19,30,Mount Pleasant
Theft from Vehicle,2016,8,15,8,30,Oakridge
Other Theft,2016,10,1,18,0,Mount Pleasant
Theft of Vehicle,2016,2,19,17,0,Sunset
Other Theft,2016,10,19,21,4,Central Business District
Break and Enter Commercial,2016,10,31,17,0,Strathcona
Other Theft,2016,10,24,9,10,Central Business District
Other Theft,2016,6,4,13,0,West End
Mischief,2016,10,20,3,15,Strathcona
Mischief,2016,9,18,15,55,Strathcona
Mischief,2016,8,26,9,30,Strathcona
Offence Against a Person,2016,10,21,,,Riley Park
Other Theft,2016,10,25,20,27,Central Business District
Other Theft,2016,6,11,15,53,Fairview
Break and Enter Residential/Other,2016,2,12,8,10,Renfrew-Collingwood
Other Theft,2016,7,1,23,34,Central Business District
Break and Enter Residential/Other,2016,3,18,15,0,Hastings-Sunrise
Break and Enter Commercial,2016,2,14,22,54,Strathcona
Break and Enter Commercial,2016,4,27,0,12,Strathcona
Break and Enter Commercial,2016,7,3,4,30,Strathcona
Mischief,2016,11,8,23,0,Grandview-Woodland
Break and Enter Commercial,2016,10,31,23,0,Strathcona
Theft from Vehicle,2016,10,22,10,0,Mount Pleasant
Mischief,2016,8,26,7,30,Strathcona
Other Theft,2016,1,9,15,5,Central Business District
Break and Enter Commercial,2016,4,12,3,4,Strathcona
Break and Enter Commercial,2016,9,24,9,58,Strathcona
Mischief,2016,5,21,7,3,Strathcona
Theft from Vehicle,2016,4,2,18,0,Kensington-Cedar Cottage
Mischief,2016,4,27,12,16,Strathcona
Theft from Vehicle,2016,5,21,12,40,Kitsilano
Mischief,2016,4,26,7,30,Strathcona
Mischief,2016,10,28,6,19,Strathcona
Other Theft,2016,2,21,12,0,Central Business District
Mischief,2016,5,19,23,23,Strathcona
Offence Against a Person,2016,2,26,,,Riley Park
Theft from Vehicle,2016,4,17,16,10,West End
Theft from Vehicle,2016,11,11,2,32,Renfrew-Collingwood
Theft from Vehicle,2016,1,13,18,0,Sunset
Other Theft,2016,3,20,20,0,Central Business District
Theft from Vehicle,2016,2,16,19,0,Oakridge
Theft from Vehicle,2016,10,28,20,30,West End
Theft from Vehicle,2016,4,10,22,27,West End
Theft from Vehicle,2016,3,1,22,0,Sunset
Other Theft,2016,9,3,16,24,Central Business District
Other Theft,2016,4,1,16,36,Central Business District
Other Theft,2016,4,3,2,46,Central Business District
Other Theft,2016,10,26,17,16,Central Business District
Theft from Vehicle,2016,5,13,0,0,Kitsilano
Other Theft,2016,6,9,4,0,Grandview-Woodland
Theft from Vehicle,2016,11,28,14,0,Central Business District
Theft from Vehicle,2016,6,24,13,0,Central Business District
Theft from Vehicle,2016,7,29,19,0,West End
Theft from Vehicle,2016,2,15,0,0,Mount Pleasant
Break and Enter Commercial,2016,4,19,3,10,Central Business District
Break and Enter Residential/Other,2016,4,21,10,21,Renfrew-Collingwood
Mischief,2016,6,26,19,15,Strathcona
Theft from Vehicle,2016,11,16,23,0,Oakridge
Other Theft,2016,4,13,7,30,Central Business District
Break and Enter Commercial,2016,1,6,1,0,Central Business District
Other Theft,2016,5,22,14,4,Central Business District
Theft from Vehicle,2016,3,12,20,30,Central Business District
Theft of Vehicle,2016,7,11,22,10,Sunset
Theft from Vehicle,2016,8,22,18,0,Sunset
Break and Enter Commercial,2016,11,9,11,13,Grandview-Woodland
Other Theft,2016,10,26,20,30,Central Business District
Other Theft,2016,9,10,21,0,Grandview-Woodland
Offence Against a Person,2016,3,9,,,Riley Park
Mischief,2016,4,2,8,0,Strathcona
Other Theft,2016,8,7,12,30,Kitsilano
Theft from Vehicle,2016,2,11,0,0,Sunset
Theft from Vehicle,2016,10,7,22,26,Hastings-Sunrise
Offence Against a Person,2016,10,2,,,Riley Park
Other Theft,2016,6,14,16,0,Mount Pleasant
Theft from Vehicle,2016,1,19,15,0,Arbutus Ridge
Theft from Vehicle,2016,11,19,14,0,Strathcona
Break and Enter Commercial,2016,6,2,5,17,Strathcona
Mischief,2016,2,3,15,43,Renfrew-Collingwood
Other Theft,2016,11,4,16,40,Central Business District
Mischief,2016,8,15,3,49,Central Business District
Mischief,2016,1,25,11,1,Central Business District
Other Theft,2016,2,19,16,0,Kitsilano
Break and Enter Commercial,2016,4,23,3,0,Strathcona
Break and Enter Commercial,2016,4,28,17,28,Strathcona
Theft from Vehicle,2016,10,30,2,0,West End
Theft from Vehicle,2016,9,3,2,0,West End
Theft from Vehicle,2016,9,5,19,9,Sunset
Theft from Vehicle,2016,4,9,3,30,West End
Offence Against a Person,2016,3,14,,,Riley Park
Other Theft,2016,11,4,18,25,Central Business District
Theft from Vehicle,2016,1,28,22,0,Musqueam
Other Theft,2016,5,28,23,0,Kensington-Cedar Cottage
Theft of Vehicle,2016,5,2,9,0,Grandview-Woodland
Offence Against a Person,2016,12,1,,,Riley Park
Offence Against a Person,2016,5,2,,,Riley Park
Theft from Vehicle,2016,4,12,23,0,Sunset
Other Theft,2016,6,4,0,23,Grandview-Woodland
Other Theft,2016,7,22,16,0,Renfrew-Collingwood
Other Theft,2016,6,7,6,15,Central Business District
Theft of Vehicle,2016,7,2,20,0,Strathcona
Theft from Vehicle,2016,8,29,9,2,West End
Break and Enter Commercial,2016,7,10,2,1,Grandview-Woodland
Theft from Vehicle,2016,4,12,22,0,Sunset
Theft from Vehicle,2016,7,6,22,0,West End
Offence Against a Person,2016,2,4,,,Riley Park
Other Theft,2016,5,10,0,0,Grandview-Woodland
Mischief,2016,10,7,8,50,Strathcona
Mischief,2016,1,3,12,11,Strathcona
Theft from Vehicle,2016,11,16,23,0,Musqueam
Theft of Vehicle,2016,12,3,17,0,Hastings-Sunrise
Offence Against a Person,2016,2,28,,,Riley Park
Other Theft,2016,11,12,14,23,Central Business District
Theft from Vehicle,2016,11,16,22,0,Musqueam
Other Theft,2016,2,16,16,0,Strathcona
Theft from Vehicle,2016,5,8,20,0,West End
Theft from Vehicle,2016,3,26,21,0,Musqueam
Other Theft,2016,2,9,17,30,Strathcona
Theft from Vehicle,2016,3,10,15,0,Musqueam
Other Theft,2016,9,30,23,30,Mount Pleasant
Theft from Vehicle,2016,10,16,21,0,West End
Theft from Vehicle,2016,5,2,18,30,Hastings-Sunrise
Mischief,2016,1,6,23,0,Central Business District
Other Theft,2016,11,17,13,2,Central Business District
Offence Against a Person,2016,4,8,,,Riley Park
Offence Against a Person,2016,2,26,,,Riley Park
Other Theft,2016,1,28,22,0,West End
Other Theft,2016,8,7,17,44,Central Business District
Other Theft,2016,7,15,16,52,Kensington-Cedar Cottage
Other Theft,2016,3,12,1,15,Victoria-Fraserview
Other Theft,2016,7,19,14,0,Central Business District
Theft from Vehicle,2016,1,7,11,56,Sunset
Break and Enter Commercial,2016,7,31,3,40,Mount Pleasant
Break and Enter Commercial,2016,11,7,5,16,Mount Pleasant
Break and Enter Commercial,2016,9,10,23,24,Marpole
Other Theft,2016,9,3,20,30,Mount Pleasant
Other Theft,2016,8,9,15,0,Central Business District
Theft from Vehicle,2016,9,2,12,0,Sunset
Theft from Vehicle,2016,2,24,21,0,Renfrew-Collingwood
Offence Against a Person,2016,2,14,,,Riley Park
Other Theft,2016,5,11,0,2,Renfrew-Collingwood
Break and Enter Commercial,2016,8,9,3,56,Marpole
Theft from Vehicle,2016,2,14,21,30,Mount Pleasant
Theft from Vehicle,2016,10,4,9,40,Kitsilano
Theft from Vehicle,2016,9,2,22,0,Kerrisdale
Theft from Vehicle,2016,9,16,16,0,Kitsilano
Mischief,2016,11,3,5,58,Strathcona
Break and Enter Commercial,2016,12,2,3,30,Mount Pleasant
Theft from Vehicle,2016,2,24,12,0,Kerrisdale
Theft from Vehicle,2016,10,19,12,0,West End
Theft from Vehicle,2016,8,23,20,30,Riley Park
Other Theft,2016,10,8,14,30,Central Business District
Theft from Vehicle,2016,6,9,19,0,Kitsilano
Other Theft,2016,10,14,21,39,Central Business District
Theft from Vehicle,2016,5,15,0,0,Kensington-Cedar Cottage
Other Theft,2016,4,12,18,45,Central Business District
Theft from Vehicle,2016,1,9,0,0,Kensington-Cedar Cottage
Mischief,2016,5,25,2,17,Strathcona
Mischief,2016,5,15,19,30,Strathcona
Other Theft,2016,9,10,17,30,Mount Pleasant
Break and Enter Commercial,2016,4,21,17,0,Mount Pleasant
Theft from Vehicle,2016,6,28,18,0,West End
Theft from Vehicle,2016,7,4,20,30,Kitsilano
Mischief,2016,10,26,21,29,Strathcona
Theft from Vehicle,2016,10,10,22,30,Victoria-Fraserview
Theft from Vehicle,2016,3,7,17,0,Mount Pleasant
Theft from Vehicle,2016,10,7,20,0,Hastings-Sunrise
Theft from Vehicle,2016,7,22,12,0,Sunset
Other Theft,2016,11,29,16,35,Renfrew-Collingwood
Other Theft,2016,8,5,5,50,Mount Pleasant
Other Theft,2016,11,24,20,54,Central Business District
Theft from Vehicle,2016,4,14,22,0,Sunset
Theft from Vehicle,2016,3,26,18,0,Riley Park
Other Theft,2016,6,1,7,30,Mount Pleasant
Theft from Vehicle,2016,5,7,17,0,West End
Mischief,2016,7,9,18,0,Strathcona
Break and Enter Residential/Other,2016,8,25,12,4,Hastings-Sunrise
Break and Enter Commercial,2016,7,25,18,0,Mount Pleasant
Mischief,2016,2,8,12,5,Strathcona
Theft of Vehicle,2016,1,9,23,0,Strathcona
Other Theft,2016,6,8,22,0,Kensington-Cedar Cottage
Break and Enter Residential/Other,2016,9,3,10,0,Killarney
Break and Enter Commercial,2016,7,16,23,0,Mount Pleasant
Mischief,2016,3,18,17,29,Riley Park
Offence Against a Person,2016,3,23,,,Riley Park
Mischief,2016,6,8,10,39,Strathcona
Other Theft,2016,11,20,12,20,Central Business District
Offence Against a Person,2016,3,12,,,Riley Park
Break and Enter Commercial,2016,1,19,5,11,Mount Pleasant
Other Theft,2016,10,1,8,22,Renfrew-Collingwood
Theft from Vehicle,2016,9,14,14,45,Mount Pleasant
Other Theft,2016,1,17,15,0,West End
Other Theft,2016,5,16,19,0,Renfrew-Collingwood
Mischief,2016,4,2,10,41,Strathcona
Offence Against a Person,2016,6,5,,,Riley Park
Other Theft,2016,3,15,16,0,Central Business District
Offence Against a Person,2016,6,15,,,Riley Park
Theft from Vehicle,2016,7,22,15,0,Riley Park
Other Theft,2016,8,23,6,20,Central Business District
Theft from Vehicle,2016,6,6,0,0,Mount Pleasant
Theft from Vehicle,2016,1,25,0,0,Oakridge
Offence Against a Person,2016,11,1,,,Riley Park
Other Theft,2016,8,26,23,40,Central Business District
Offence Against a Person,2016,6,24,,,Riley Park
Theft from Vehicle,2016,6,13,15,4,Central Business District
Theft from Vehicle,2016,1,2,21,0,West End
Theft from Vehicle,2016,5,10,21,30,Victoria-Fraserview
Theft from Vehicle,2016,1,18,21,30,Victoria-Fraserview
Mischief,2016,2,17,20,45,Strathcona
Other Theft,2016,11,21,16,58,Central Business District
Break and Enter Residential/Other,2016,11,6,9,15,Hastings-Sunrise
Other Theft,2016,9,21,1,30,West End
Other Theft,2016,8,22,10,0,West End
Other Theft,2016,6,30,13,30,West End
Break and Enter Commercial,2016,4,13,18,25,Central Business District
Other Theft,2016,6,13,13,24,West End
Break and Enter Commercial,2016,4,19,4,15,Central Business District
Theft of Vehicle,2016,2,25,6,30,Grandview-Woodland
Break and Enter Residential/Other,2016,2,12,6,15,Hastings-Sunrise
Break and Enter Commercial,2016,4,11,22,0,Central Business District
Other Theft,2016,12,4,14,24,Central Business District
Break and Enter Commercial,2016,5,30,18,0,Central Business District
Theft from Vehicle,2016,2,14,1,0,Killarney
Theft from Vehicle,2016,5,20,21,0,Killarney
Theft from Vehicle,2016,5,16,18,0,Riley Park
Theft from Vehicle,2016,5,20,21,0,Killarney
Theft from Vehicle,2016,7,23,14,0,Riley Park
Offence Against a Person,2016,5,2,,,Riley Park
Theft from Vehicle,2016,4,14,22,0,Kensington-Cedar Cottage
Other Theft,2016,6,12,8,30,Central Business District
Other Theft,2016,11,22,14,11,Central Business District
Theft from Vehicle,2016,8,18,16,9,Riley Park
Mischief,2016,9,27,16,40,Hastings-Sunrise
Theft from Vehicle,2016,11,10,19,0,Riley Park
Theft from Vehicle,2016,1,18,21,0,Riley Park
Break and Enter Residential/Other,2016,7,27,22,30,Hastings-Sunrise
